ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
232,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
233,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
234,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
235,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
236,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
237,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
238,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
239,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
240,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
241,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
242,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
243,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
244,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
245,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
246,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
247,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
248,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
249,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
250,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
251,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
252,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
253,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
254,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
255,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
256,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
257,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
258,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
259,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
260,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
